"Team","Country","Coefficient"
"Liverpool","Eng",100.000000111111
"Villarreal","Esp",53.00000004
"Lazio","Ita",44.0000000294118
"Copenhagen","Den",43.5000000285714
"CSKA","Rus",40.0000000263158
"Marseille","Fra",28.0000000175439
"Anderlecht","Bel",25.000000016129
"Astana","Kaz",22.500000015625
"Feyenoord","Ned",21.0000000147059
"Maccabi Tel-Aviv","Isr",20.5000000140845
"PAOK","Gre",20.0000000138889
"AEK Athens","Gre",19.5000000136986
"Partizan","Srb",18.0000000111111
"BATE","Blr",17.5000000107527
"Molde","Nor",17.0000000106383
"Midtjylland","Den",17.0000000105263
